product_name,category,price_usd
Abibas,Footwear,12.99
Nkie,Footwear,9.50
Guchi,Fashion,25.00
Superme,Streetwear,8.00
Sqny,Electronics,45.00
Panasoanic,Electronics,38.00
Samsing,Electronics,55.00
Dolce & Banana,Fashion,30.00
Calvim Klain,Fashion,15.00
Versase,Fashion,22.00
Proda,Fashion,28.00
Star Bocks,Food & Drink,4.50
Sunbucks Coffee,Food & Drink,3.75
MaDonald,Food & Drink,6.00
KFG Fried Chicken,Food & Drink,5.50
Burger Kang,Food & Drink,4.99
Subways,Food & Drink,5.25
Pizza Hot,Food & Drink,7.00
Johnnie Walked,Beverages,18.00
Red Buil,Beverages,1.50
Coka-Cola,Beverages,0.99
Mike Air Jordan,Footwear,35.00
Adidose Originals,Footwear,20.00
Buma Running Shoes,Footwear,14.00
Georgio Armoni,Fashion,40.00
Loius Vuitten,Fashion,50.00
The Northh Face,Outdoor,32.00
Timberlan Boots,Footwear,28.00
Roiex Watches,Accessories,75.00
Appla iPhone,Electronics,120.00
Microsooft,Technology,10.00
Googel Chrome,Technology,0.00
Netflex,Technology,8.99
Hyunday Motors,Automotive,9999.00
Toyoto Camary,Automotive,8500.00
