brand_name,industry,country
Adidas,Footwear,Germany
Nike,Footwear,United States
Gucci,Fashion,Italy
Supreme,Streetwear,United States
Sony,Electronics,Japan
Panasonic,Electronics,Japan
Samsung,Electronics,South Korea
Dolce & Gabbana,Fashion,Italy
Calvin Klein,Fashion,United States
Versace,Fashion,Italy
Prada,Fashion,Italy
Starbucks,Food & Drink,United States
Starbucks Coffee,Food & Drink,United States
McDonald's,Food & Drink,United States
KFC Fried Chicken,Food & Drink,United States
Burger King,Food & Drink,United States
Subway,Food & Drink,United States
Pizza Hut,Food & Drink,United States
Johnnie Walker,Beverages,Scotland
Red Bull,Beverages,Austria
Coca-Cola,Beverages,United States
Nike Air Jordan,Footwear,United States
Adidas Originals,Footwear,Germany
Puma Running Shoes,Footwear,Germany
Giorgio Armani,Fashion,Italy
Louis Vuitton,Fashion,France
The North Face,Outdoor,United States
Timberland Boots,Footwear,United States
Rolex Watches,Accessories,Switzerland
Apple iPhone,Electronics,United States
Microsoft,Technology,United States
Google Chrome,Technology,United States
Netflix,Technology,United States
Hyundai Motors,Automotive,South Korea
Toyota Camry,Automotive,Japan
